Clave,NOMBRE UEA,TIPO,MODALIDAD,H. TEOR.,H. PRAC.,Tipo formacion,Creditos
,UEA SIN CLAVE,OBLIGATORIA,MIXTA,3,3,Basica,9
9990001,,OPTATIVA,MIXTA,3,3,Complementaria,9
ABC123,CLAVE NO NUMERICA,OBLIGATORIA,MIXTA,3,3,Basica,9
123456789012345678901,CLAVE DE 21 DIGITOS,OPTATIVA,MIXTA,3,3,Basica,9
9990002,TIPO INVALIDO,LIBRE,MIXTA,3,3,Basica,9
9990003,MODALIDAD INVALIDA,OBLIGATORIA,PRESENCIAL,3,3,Basica,9
9990004,FORMACION INVALIDA,OPTATIVA,MIXTA,3,3,ESPECIALIZACION,9
9990005,CREDITOS CERO,OBLIGATORIA,MIXTA,3,3,Basica,0
9990006,CREDITOS DECIMAL,OPTATIVA,MIXTA,3,3,Complementaria,9.5
9990007,HORAS NO NUMERICAS,OBLIGATORIA,MIXTA,abc,3,Basica,9
9990008,HORAS NEGATIVAS,OPTATIVA,MIXTA,-3,3,Basica,9
9990009,DUPLICADA EN ARCHIVO A,OBLIGATORIA,MIXTA,3,3,Basica,9
9990009,DUPLICADA EN ARCHIVO B,OPTATIVA,MIXTA,3,3,Basica,9
2156024,DUPLICADA CONTRA BD,OBLIGATORIA,MIXTA,3,3,Basica,9
